name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Jalen Nailor,WR,MIN,MIN (Divisional),0.0,0.0,0.8,26.1,1.7,0,4.95,17
Dawson Knox,TE,BUF,BUF (Divisional),0.0,0.0,0.0,24.5,2.1,0,4.92,17
KaVontae Turpin,WR,DAL,DAL (Divisional),0.0,0.0,5.9,26.4,1.7,0,4.9,15
Tez Johnson,WR,TB,TB (Divisional),0.0,0.0,1.4,20.1,1.8,0,4.9,16
Samaje Perine,RB,CIN,CIN (Divisional),0.0,0.0,25.5,5.8,1.1,0,4.89,15
Dylan Sampson,RB,CLE,CLE (Divisional),0.0,0.0,11.7,18.1,2.2,0,4.87,15
Evan Engram,TE,DEN,DEN (Divisional),0.0,0.0,0.4,28.8,3.1,0,4.86,16
Xavier Legette,WR,CAR,CAR (Divisional),0.0,0.0,0.0,24.2,2.3,0,4.79,15
Aidan O'Connell,QB,LV,LV (Divisional),102.0,0.0,7.0,0.0,0.0,0,4.78,1
Jaylen Wright,RB,MIA,MIA (Divisional),0.0,0.0,28.8,4.4,0.5,0,4.77,10
Xavier Hutchinson,WR,HOU,HOU (Divisional),0.0,0.0,1.3,25.2,2.1,0,4.74,17
DeMario Douglas,WR,NE,NE (Divisional),0.0,0.0,1.2,26.3,1.8,0,4.72,17
Marvin Mims,WR,DEN,DEN (Divisional),0.0,0.0,5.2,21.5,2.5,0,4.7,15
Raheim Sanders,RB,CLE,CLE (Divisional),0.0,0.0,23.0,5.2,0.8,0,4.7,4
Ronnie Bell,WR,NO,NO (Divisional),0.0,0.0,0.0,11.5,1.0,0,4.65,2
Kendrick Bourne,WR,SF,SF (Divisional),0.0,0.0,0.0,34.4,2.3,0,4.6,16
Adonai Mitchell,WR,NYJ,NYJ (Divisional),0.0,0.0,-0.2,28.3,2.1,0,4.59,16
Jake Tonges,TE,SF,SF (Divisional),0.0,0.0,0.0,17.2,2.0,0,4.49,17
Darnell Mooney,WR,ATL,ATL (Divisional),0.0,0.0,0.0,29.5,2.1,0,4.42,15
Mike Gesicki,TE,CIN,CIN (Divisional),0.0,0.0,0.0,23.6,2.2,0,4.36,13
Gunnar Helm,TE,TEN,TEN (Divisional),0.0,0.0,0.0,22.3,2.8,0,4.36,16
Dontayvion Wicks,WR,GB,GB (Divisional),0.0,0.0,0.4,23.7,2.1,0,4.34,14
Michael Mayer,TE,LV,LV (Divisional),0.0,0.0,0.0,25.2,2.7,0,4.33,13
Andrei Iosivas,WR,CIN,CIN (Divisional),0.0,0.0,0.8,25.6,1.9,0,4.32,17
Noah Fant,TE,CIN,CIN (Divisional),0.0,0.0,0.0,19.2,2.3,0,4.25,15
Gabe Davis,WR,BUF,BUF (Divisional),0.0,0.0,0.0,21.5,2.0,0,4.15,6
Emari Demercado,RB,ARI,ARI (Divisional),0.0,0.0,24.0,7.8,1.0,0,4.14,13
Olamide Zaccheaus,WR,CHI,CHI (Divisional),0.0,0.0,1.6,19.6,2.4,0,4.08,16
Jaret Patterson,RB,LAC,LAC (Divisional),0.0,0.0,26.5,1.3,0.5,0,4.03,6
Isaac TeSlaa,WR,DET,DET (Divisional),0.0,0.0,0.0,14.1,0.9,0,3.99,17
Jaydon Blue,RB,DAL,DAL (Divisional),0.0,0.0,25.8,1.0,0.2,0,3.98,5
Matthew Golden,WR,GB,GB (Divisional),0.0,0.0,3.5,25.8,2.1,0,3.96,14
Pat Bryant,WR,DEN,DEN (Divisional),0.0,0.0,0.0,25.2,2.1,0,3.95,15
Keaton Mitchell,RB,BAL,BAL (Divisional),0.0,0.0,26.2,4.8,0.7,0,3.92,13
Shane Buechele,QB,BUF,BUF (Divisional),88.0,0.0,4.0,0.0,0.0,0,3.92,1
Trey Lance,QB,LAC,LAC (Divisional),56.5,0.0,21.2,0.0,0.0,0,3.89,4
Jonnu Smith,TE,PIT,PIT (Divisional),0.0,0.0,4.1,13.1,2.2,0,3.89,17
Cole Kmet,TE,CHI,CHI (Divisional),0.0,0.0,0.0,21.7,1.9,0,3.86,16
Cedric Tillman,WR,CLE,CLE (Divisional),0.0,0.0,0.0,20.8,1.6,0,3.81,13
Jaleel McLaughlin,RB,DEN,DEN (Divisional),0.0,0.0,23.4,3.4,0.5,0,3.67,8
Isaiah Likely,TE,BAL,BAL (Divisional),0.0,0.0,0.0,21.9,1.9,0,3.59,14
Jeremy McNichols,RB,WAS,WAS (Divisional),0.0,0.0,13.0,11.5,1.5,0,3.54,17
John Metchie,WR,NYJ,NYJ (Divisional),0.0,0.0,-0.3,17.1,2.1,0,3.46,16
Brian Robinson,RB,SF,SF (Divisional),0.0,0.0,23.5,1.5,0.5,0,3.44,17
Joshua Palmer,WR,BUF,BUF (Divisional),0.0,0.0,0.0,25.2,1.8,0,3.44,12
Tanner McKee,QB,PHI,PHI (Divisional),68.5,0.25,2.0,0.0,0.0,0,3.44,4
Andy Dalton,QB,CAR,CAR (Divisional),73.2,0.25,-0.5,0.0,0.0,0,3.38,4
Rashod Bateman,WR,BAL,BAL (Divisional),0.0,0.0,0.0,17.2,1.5,0,3.38,13
Christian Kirk,WR,HOU,HOU (Divisional),0.0,0.0,0.0,18.4,2.2,0,3.38,13
JuJu Smith-Schuster,WR,KC,KC (Divisional),0.0,0.0,0.0,20.3,1.9,0,3.35,17
Terrance Ferguson,TE,LAR,LAR (Divisional),0.0,0.0,0.0,16.5,0.8,0,3.33,14
Kevin Austin,WR,NO,NO (Divisional),0.0,0.0,0.0,17.5,1.6,0,3.31,8
DeAndre Hopkins,WR,BAL,BAL (Divisional),0.0,0.0,0.0,19.4,1.3,0,3.29,17
Jaylin Noel,WR,HOU,HOU (Divisional),0.0,0.0,0.7,17.2,1.5,0,3.26,17
Kalif Raymond,WR,DET,DET (Divisional),0.0,0.0,1.3,19.3,1.6,0,3.25,15
Michael Bandy,WR,DEN,DEN (Divisional),0.0,0.0,0.0,12.5,1.0,0,3.25,4
Demarcus Robinson,WR,SF,SF (Divisional),0.0,0.0,0.4,19.7,1.6,0,3.23,14
Brittain Brown,RB,CHI,CHI (Divisional),0.0,0.0,12.3,0.0,0.0,0,3.23,3
Isaiah Hodgins,WR,NYG,NYG (Divisional),0.0,0.0,0.0,16.4,1.4,0,3.21,7
